Time11,Voltage11,Time12,Voltage12,Time21,Voltage21,Time22,Voltage22,Power11,Power12,Power21,Power22
-1.139,12.079,-1.206,12.0607,-1.269,12.0607,-1.313,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-1.138,12.079,-1.205,12.0607,-1.268,12.0607,-1.312,12.079,-0.2907470232,3.65012418,-0.1660155355,-1.635276685
-1.137,12.079,-1.204,12.0607,-1.267,12.0607,-1.311,12.079,3.909966807,1.553009664,-0.1660155355,-1.635276685
-1.136,12.079,-1.203,12.0607,-1.266,12.0607,-1.31,12.079,1.809549497,-0.5442254589,-0.1660155355,-1.635276685
-1.135,12.079,-1.202,12.0607,-1.265,12.0607,-1.309,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-1.134,12.079,-1.201,12.0607,-1.264,12.0607,-1.308,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-1.133,12.079,-1.2,12.0607,-1.263,12.0607,-1.307,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-1.132,12.079,-1.199,12.0607,-1.262,12.0607,-1.306,12.079,3.909966807,-0.5442254589,-0.1660155355,-1.635276685
-1.131,12.079,-1.198,12.0607,-1.261,12.0607,-1.305,12.079,1.809549497,-0.5442254589,-0.1660155355,2.565437145
-1.13,12.079,-1.197,12.0607,-1.26,12.0607,-1.304,12.079,-0.2907470232,-0.5442254589,4.028334104,-1.635276685
-1.129,12.079,-1.196,12.0607,-1.259,12.0607,-1.303,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-1.128,12.079,-1.195,12.0607,-1.258,12.0607,-1.302,12.079,-0.2907470232,-0.5442254589,-0.1660155355,0.4651406253
-1.127,12.079,-1.194,12.0607,-1.257,12.0607,-1.301,12.079,-0.2907470232,1.553009664,-0.1660155355,0.4651406253
-1.126,12.079,-1.193,12.0607,-1.256,12.0607,-1.3,12.079,-0.2907470232,1.553009664,-0.1660155355,-1.635276685
-1.125,12.079,-1.192,12.0607,-1.255,12.0607,-1.299,12.079,-0.2907470232,1.553009664,-0.1660155355,0.4651406253
-1.124,12.079,-1.191,12.0607,-1.254,12.0607,-1.298,12.079,-0.2907470232,3.65012418,-0.1660155355,-1.635276685
-1.123,12.079,-1.19,12.0607,-1.253,12.0607,-1.297,12.079,-0.2907470232,-0.5442254589,-0.1660155355,-1.635276685
-1.122,12.079,-1.189,12.0607,-1.252,12.0607,-1.296,12.079,-0.2907470232,-0.5442254589,1.931219588,-1.635276685
